Signif,Code
Rien,0
Viking_1,1
Viking_2,2
Viking_3,3
Femmes,4
Casques,5
Bonus,6
Piques,7
Coeurs,8
Carreaux,9
Triple,789

Vicking

symbole,multiplicateur
8,1
0,0
0,0
789,0.2
0,0
789,0.2
0,0
789,0.2
0,0
0,0
0,0
9,0.5
0,0
0,0
0,0
789,0.2
0,0
0,0
0,0
0,0
7,2
0,0
9,0.5
0,0
0,0
0,0
0,0
8,1
0,0
9,0.5
789,0.2
0,0
789,0.2
0,0
8,1
9,0.5
0,0
0,0
0,0
0,0
9,0.5
9,0.5
7,2
0,0
0,0
0,0
789,0.2
0,0
0,0
0,0
789,0.2
0,0
1,5
0,0
0,0
7,2
6,2
6,5
0,0
0,0
0,0
789,0.2
0,0
0,0
0,0
0,0
0,0
0,0
789,0.2
789,0.2
789,0.2
0,0
9,0.5
7,2
0,0
9,0.5
0,0
7,2
0,0
789,0.2
8,1
0,0
789,0.2
789,0.2
0,0
0,0
0,0
6,3
# nouveau vicking
9,0.5 # etape 1
789,0.2
0,0
0,0
789,0.2
8,1 # etape 2
0,0
0,0
0,0
8,1
0,0
7,2
0,0
9,0.5
7,2
0,0
1,5
0,0
0,0
0,0
8,1
9,0.5
0,0
6,10
9,0.5
0,0
9,0.5
8,1
0,0
789,0.2
789,0.2
1,5
0,0 # etape 3
9,0.5
7,2
789,0.2
8,1
0,0
5,10
789,0.2
0,0
789,0.2
0,0
0,0
9,0.5
0,0
0,0
0,0
0,0
0,0
789,0.2
0,0
6,5
9,0.5
0,0
0,0
789,0.2
7,2
789,0.2
0,0
0,0
9,0.5
0,0
0,0
0,0
789,0.2
0,0
8,1
8,1
5,10
0,0
0,0
0,0
0,0
9,0.5
0,0
8,1
789,0.2
0,0
9,0.5
9,0.5
0,0
4,20
0,0
9,0.5
0,0
0,0
789,0.2
0,0
0,0
8,1
0,0
6,3
789,0.2
8,1
789,0.2
0,0
0,0
0,0
0,0
0,0
8,1
0,0
789,0.2
0,0
0,0
0,0
6,25
0,0
0,0
6,5
7,2
789,0.2
0,0
5,10
9,0.5
0,0
0,0
789,0.2
789,0.2
8,1
0,0
0,0
0,0
0,0
7,2
8,1
0,0
0,0
0,0
6,3
3,40
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
5,10
7,2
0,0
789,0.2
0,0
0,0
6,5
0,0
9,0.5
9,0.5
8,1
0,0
789,0.2
0,0
8,1
9,0.5
9,0.5
0,0
1,5
0,0
9,0.5
0,0
0,0
6,5
0,0
8,1
0,0
789,0.2
0,0
0,0
9,0.5
9,0.5
0,0
8,1
789,0.2
0,0
8,1
0,0
0,0
0,0
0,0
